Player,Matches,Innings,Runs,Highscore,Average,Strike,Fifty,Fours,Sixes
Aaron Finch,10,9,134,46,16.75,134,0,6,8
AB de Villiers,12,11,480,90,53.33,174.54,6,39,30
Abhishek Sharma,3,3,63,46,63,190.9,0,3,5
Ajinkya Rahane,15,14,370,65,28.46,118.21,1,39,5
Alex Hales,6,6,148,45,24.66,125.42,0,13,6
Ambati Rayudu,16,16,602,100,43,149.75,3,53,34
Andre Russell,16,14,316,88,28.72,184.79,1,17,31
Andrew Tye,14,8,32,14,5.33,84.21,0,2,1
Axar Patel,9,8,80,19,13.33,115.94,0,3,4
Ben Cutting,9,6,96,37,24,165.51,0,5,8
Ben Stokes,13,13,196,45,16.33,121.73,0,13,6
Bhuvneshwar Kumar,12,4,13,7,6.5,81.25,0,1,0
Brendon McCullum,6,6,127,43,21.16,144.31,0,16,6
Carlos Brathwaite,4,4,75,43,25,156.25,0,1,8
Chris Gayle,11,11,368,104,40.88,146.03,3,30,27
Chris Lynn,16,16,491,74,32.73,130.23,3,56,18
Chris Morris,4,4,46,27,46,176.92,0,3,2
Chris Woakes,5,4,17,11,8.5,89.47,0,1,1
Colin de Grandhomme,9,8,131,40,26.2,155.95,0,4,10
Colin Munro,5,5,63,33,12.6,153.65,0,7,4
Corey Anderson,3,3,17,15,5.66,77.27,0,0,1
D'Arcy Short,7,7,115,44,16.42,116.16,0,11,5
Dan Christian,4,3,26,13,13,78.78,0,0,1
David Miller,3,3,74,26,37,115.62,0,3,2
Deepak Chahar,12,4,50,39,16.66,172.41,0,1,4
Deepak Hooda,9,8,87,32,21.75,107.4,0,2,3
Dinesh Karthik,16,16,498,52,49.8,147.77,2,49,16
Dwayne Bravo,16,10,141,68,35.25,154.94,1,8,10
Evin Lewis,13,13,382,65,29.38,138.4,2,32,24
Faf du Plessis,6,6,162,67,32.4,125.58,1,17,6
Gautam Gambhir,6,5,85,55,17,96.59,1,8,1
Glenn Maxwell,12,12,169,47,14.08,140.83,0,14,9
Harbhajan Singh,13,3,29,19,9.66,80.55,0,3,1
Hardik Pandya,13,13,260,50,28.88,133.33,1,20,11
Harshal Patel,5,2,60,36,60,181.81,0,1,6
Heinrich Klaasen,4,4,57,32,19,121.27,0,5,1
Ishan Kishan,14,12,275,62,22.91,149.45,2,22,17
Jason Roy,5,5,120,91,30,127.65,1,9,7
Jaydev U0dkat,15,7,49,26,12.25,128.94,0,6,1
Jofra Archer,10,8,15,8,3,71.42,0,2,0
Jos Buttler,13,13,548,95,54.8,155.24,5,52,21
JP Duminy,6,4,36,23,36,90,0,3,1
Kane Williamson ,17,17,735,84,52.5,142.44,8,64,28
Karun 0ir,13,12,301,54,25.08,136.19,2,23,13
Kedar Jadhav,1,1,24,24,0,109.09,0,1,2
Kieron Pollard,9,8,133,50,19,133,1,10,7
Krish0ppa Gowtham,15,13,126,33,14,196.87,0,9,9
Kru0l Pandya,14,13,228,41,22.8,145.22,0,22,10
Lokesh Rahul,14,14,659,95,54.91,158.41,6,66,32
Mahipal Lomror,2,2,20,11,20,95.23,0,1,0
Ma0n Vohra,4,4,55,45,13.75,117.02,0,2,4
Mandeep Singh,14,13,252,47,25.2,135.48,0,16,11
Manish Pandey,15,13,284,62,25.81,115.44,3,22,5
Manoj Tiwary,5,4,47,35,15.66,106.81,0,4,1
Marcus Stoinis,7,7,99,29,24.75,130.26,0,6,4
Mayank Agarwal,11,11,120,30,12,127.65,0,9,5
Mayank Markande,14,6,21,7,10.5,87.5,0,2,0
Mitchell Johnson,6,2,16,12,0,145.45,0,2,0
Moeen Ali,5,4,77,65,19.25,167.39,1,4,6
