Player,Matches,Runs,MaxScore,StrikeRate,Fours,Sixes
Aaron Finch,10,134,46,134,6,8
AB de Villiers,12,480,90,174.54,39,30
Abhishek Sharma,3,63,46,190.9,3,5
Ajinkya Rahane,15,370,65,118.21,39,5
Alex Hales,6,148,45,125.42,13,6
Ambati Rayudu,16,602,100,149.75,53,34
Andre Russell,16,316,88,184.79,17,31
Andrew Tye,14,32,14,84.21,2,1
Axar Patel,9,80,19,115.94,3,4
Ben Cutting,9,96,37,165.51,5,8
Ben Stokes,13,196,45,121.73,13,6
Bhuvneshwar Kumar,12,13,7,81.25,1,0
Brendon McCullum,6,127,43,144.31,16,6
Carlos Brathwaite,4,75,43,156.25,1,8
Chris Gayle,11,368,104,146.03,30,27
Chris Lynn,16,491,74,130.23,56,18
Chris Morris,4,46,27,176.92,3,2
Chris Woakes,5,17,11,89.47,1,1
Colin de Grandhomme,9,131,40,155.95,4,10
Colin Munro,5,63,33,153.65,7,4
Corey Anderson,3,17,15,77.27,0,1
D'Arcy Short,7,115,44,116.16,11,5
Dan Christian,4,26,13,78.78,0,1
David Miller,3,74,26,115.62,3,2
Deepak Chahar,12,50,39,172.41,1,4
Deepak Hooda,9,87,32,107.4,2,3
Dinesh Karthik,16,498,52,147.77,49,16
Dwayne Bravo,16,141,68,154.94,8,10
Evin Lewis,13,382,65,138.4,32,24
Faf du Plessis,6,162,67,125.58,17,6
Gautam Gambhir,6,85,55,96.59,8,1
Glenn Maxwell,12,169,47,140.83,14,9
Harbhajan Singh,13,29,19,80.55,3,1
Hardik Pandya,13,260,50,133.33,20,11
Harshal Patel,5,60,36,181.81,1,6
Heinrich Klaasen,4,57,32,121.27,5,1
Ishan Kishan,14,275,62,149.45,22,17
Jason Roy,5,120,91,127.65,9,7
Jaydev U0dkat,15,49,26,128.94,6,1
Jofra Archer,10,15,8,71.42,2,0
Jos Buttler,13,548,95,155.24,52,21
JP Duminy,6,36,23,90,3,1
Kane Williamson ,17,735,84,142.44,64,28
Karun 0ir,13,301,54,136.19,23,13
Kedar Jadhav,1,24,24,109.09,1,2
Kieron Pollard,9,133,50,133,10,7
Krish0ppa Gowtham,15,126,33,196.87,9,9
Kru0l Pandya,14,228,41,145.22,22,10
Lokesh Rahul,14,659,95,158.41,66,32
Mahipal Lomror,2,20,11,95.23,1,0
Ma0n Vohra,4,55,45,117.02,2,4
Mandeep Singh,14,252,47,135.48,16,11
Manish Pandey,15,284,62,115.44,22,5
Manoj Tiwary,5,47,35,106.81,4,1
Marcus Stoinis,7,99,29,130.26,6,4
